CNTD(calc-View parameter)-value,CNTD(calc-View parameter)-alias,COUNTY-value,COUNTY-alias,COUNTY-[HC CASES FILED AND ATTY (1) (copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[HC CASES FILED AND ATTY (1) (copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(calc-View parameter (copy))-alias,for-Color-alias
0,0,0,0,BARNSTABLE,BAR,80,2023 Q2
0,0,0,0,%null%,TBD,75,2023 Q2
0,0,0,0,WORCESTER,WOR,19,2023 Q3
0,0,0,0,SUFFOLK,SUF,73,2023 Q3
0,0,0,0,PLYMOUTH,PLY,31,2023 Q3
0,0,0,0,NORFOLK,NOR,37,2023 Q3
0,0,0,0,MIDDLESEX,MID,37,2023 Q3
0,0,0,0,HAMPDEN,HPD,15,2023 Q3
0,0,0,0,FRANKLIN,FRA,1,2023 Q3
0,0,0,0,ESSEX,ESS,16,2023 Q3
0,0,0,0,BRISTOL,BRI,28,2023 Q3
0,0,0,0,BERKSHIRE,BER,8,2023 Q3
0,0,0,0,BARNSTABLE,BAR,4,2023 Q3
0,0,0,0,%null%,TBD,79,2023 Q3
