CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,WEEK(Execution Docket Date)-value,WEEK(Execution Docket Date)-alias,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-value,WEEK(Execution Docket Date)-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[twk:Calc-Last Date Docket Entry  (copy):ok]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,MONTH(calc-color)-alias
80,80,2022-05-15 00:00:00,5/15/22,2022-06-26 00:00:00,6/26/22,8,07/2022
83,83,2022-05-08 00:00:00,5/8/22,2022-06-26 00:00:00,6/26/22,87,06/2022
85,85,2022-05-01 00:00:00,5/1/22,2022-06-19 00:00:00,6/19/22,92,06/2022
91,91,2022-04-24 00:00:00,4/24/22,2022-06-12 00:00:00,6/12/22,102,06/2022
75,75,2022-04-17 00:00:00,4/17/22,2022-06-05 00:00:00,6/5/22,68,06/2022
77,77,2022-04-10 00:00:00,4/10/22,2022-05-29 00:00:00,5/29/22,65,06/2022
90,90,2022-04-03 00:00:00,4/3/22,2022-05-29 00:00:00,5/29/22,16,05/2022
87,87,2022-03-27 00:00:00,3/27/22,2022-05-22 00:00:00,5/22/22,94,05/2022
84,84,2022-03-20 00:00:00,3/20/22,2022-05-15 00:00:00,5/15/22,80,05/2022
92,92,2022-03-13 00:00:00,3/13/22,2022-05-08 00:00:00,5/8/22,83,05/2022
108,108,2022-03-06 00:00:00,3/6/22,2022-05-01 00:00:00,5/1/22,85,05/2022
118,118,2022-02-27 00:00:00,2/27/22,2022-04-24 00:00:00,4/24/22,91,04/2022
80,80,2022-02-20 00:00:00,2/20/22,2022-04-17 00:00:00,4/17/22,75,04/2022
70,70,2022-02-13 00:00:00,2/13/22,2022-04-10 00:00:00,4/10/22,77,04/2022
94,94,2022-02-06 00:00:00,2/6/22,2022-04-03 00:00:00,4/3/22,90,04/2022
100,100,2022-01-30 00:00:00,1/30/22,2022-03-27 00:00:00,3/27/22,11,04/2022
98,98,2022-01-23 00:00:00,1/23/22,2022-03-27 00:00:00,3/27/22,76,03/2022
79,79,2022-01-16 00:00:00,1/16/22,2022-03-20 00:00:00,3/20/22,84,03/2022
67,67,2022-01-09 00:00:00,1/9/22,2022-03-13 00:00:00,3/13/22,92,03/2022
52,52,2022-01-02 00:00:00,1/2/22,2022-03-06 00:00:00,3/6/22,108,03/2022
71,71,2021-12-26 00:00:00,12/26/21,2022-02-27 00:00:00,2/27/22,95,03/2022
