CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,WORCESTER,WOR,111,WORCESTER,May-23,862927,12.863197,,,,,,,,
0,0,0,0,SUFFOLK,SUF,107,SUFFOLK,May-23,766381,13.961724,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,48,PLYMOUTH,May-23,533069,9.004462837,,,,,,,,
0,0,0,0,NORFOLK,NOR,116,NORFOLK,May-23,725531,15.98828996,,,,,,,,
0,0,0,0,MIDDLESEX,MID,185,MIDDLESEX,May-23,1617105,11.44019714,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,18,HAMPSHIRE,May-23,162588,11.07092774,,,,,,,,
0,0,0,0,HAMPDEN,HPD,97,HAMPDEN,May-23,461041,21.03934357,,,,,,,,
0,0,0,0,FRANKLIN,FRA,7,FRANKLIN,May-23,70894,9.873896239,,,,,,,,
0,0,0,0,ESSEX,ESS,107,ESSEX,May-23,806765,13.26284606,,,,,,,,
0,0,0,0,BRISTOL,BRI,82,BRISTOL,May-23,580068,14.13627368,,,,,,,,
0,0,0,0,BERKSHIRE,BER,13,BERKSHIRE,May-23,127859,10.16745008,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,11,BARNSTABLE,May-23,232457,4.732057972,,,,,,,,
0,0,0,0,%null%,TBD,1,%null%,May-23,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,81,WORCESTER,Apr-23,862927,9.386657272,,,,,,,,
0,0,0,0,SUFFOLK,SUF,63,SUFFOLK,Apr-23,766381,8.220454317,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,41,PLYMOUTH,Apr-23,533069,7.691312007,,,,,,,,
0,0,0,0,NORFOLK,NOR,51,NORFOLK,Apr-23,725531,7.029334377,,,,,,,,
0,0,0,0,MIDDLESEX,MID,118,MIDDLESEX,Apr-23,1617105,7.29699061,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,7,HAMPSHIRE,Apr-23,162588,4.305360789,,,,,,,,
0,0,0,0,HAMPDEN,HPD,111,HAMPDEN,Apr-23,461041,24.07594986,,,,,,,,
0,0,0,0,FRANKLIN,FRA,13,FRANKLIN,Apr-23,70894,18.33723587,,,,,,,,
0,0,0,0,ESSEX,ESS,90,ESSEX,Apr-23,806765,11.15566491,,,,,,,,
0,0,0,0,DUKES,DUK,1,DUKES,Apr-23,20868,4.792026069,,,,,,,,
0,0,0,0,BRISTOL,BRI,65,BRISTOL,Apr-23,580068,11.20558279,,,,,,,,
0,0,0,0,BERKSHIRE,BER,12,BERKSHIRE,Apr-23,127859,9.385338537,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,12,BARNSTABLE,Apr-23,232457,5.16224506,,,,,,,,
